symbol,side,entry_date,entry_px,exit_date,exit_px,qty,pnl,exit_reason,days_held
YESBANK,S,2019-07-09,95.0,2019-07-17,108.5,26,-351.0,EMA13,8
GLENMARK,S,2019-07-10,451.0,2019-07-17,453.3,55,-126.5,EMA13,7
SBILIFE,L,2019-06-26,695.5,2019-07-19,745.35,35,1744.75,EMA13,23
AUROPHARMA,S,2019-07-17,581.0,2019-08-01,563.5,43,752.5,EMA13,15
MARUTI,S,2019-07-19,5885.0,2019-08-07,5833.95,4,204.2,EMA13,19
TVSMOTOR,S,2019-08-01,362.5,2019-08-07,379.5,68,-1156.0,EMA13,6
KPITTECH,S,2019-07-16,88.05,2019-08-08,82.5,66,366.3,EMA13,23
GAIL,S,2019-07-18,96.0,2019-08-19,86.97,19,171.63,EMA13,32
INDIANB,S,2019-08-07,201.0,2019-08-27,186.5,124,1798.0,EMA13,20
TATAMOTORS,S,2019-08-21,123.0,2019-08-28,120.55,16,39.2,EMA13,7
BHEL,S,2019-08-27,50.7,2019-08-28,52.6,493,-936.7,EMA13,1
ONGC,S,2019-08-08,130.5,2019-09-06,126.4,55,225.5,EMA13,29
BHEL,S,2019-08-28,52.6,2019-09-06,51.4,475,570.0,EMA13,9
TATASTEEL,S,2019-08-07,39.5,2019-09-09,35.54,632,2502.72,EMA13,33
SAIL,S,2019-08-28,32.75,2019-09-09,32.9,88,-13.2,EMA13,12
COALINDIA,S,2019-09-06,196.15,2019-09-09,198.1,127,-247.65,EMA13,3
PNB,S,2019-09-06,61.35,2019-09-12,64.55,131,-419.2,EMA13,6
CANBK,S,2019-09-09,38.27,2019-09-23,41.4,653,-2043.89,EMA13,14
ITC,S,2019-09-19,231.05,2019-09-24,245.54,55,-797.14,EMA13,5
APOLLOHOSP,L,2019-09-23,1490.0,2019-09-25,1456.0,15,-510.0,EMA13,2
INFY,L,2019-09-24,765.0,2019-09-25,787.7,16,363.2,EMA13,1
INFY,L,2019-09-25,787.7,2019-09-26,787.75,12,0.6,EMA13,1
PIDILITIND,L,2019-09-30,738.5,2019-10-04,696.97,13,-539.83,EMA13,4
NESTLEIND,L,2019-09-25,671.2,2019-10-07,675.41,37,155.77,EMA13,12
CIPLA,S,2019-10-07,419.95,2019-10-14,441.35,59,-1262.6,EMA13,7
YESBANK,S,2019-10-07,45.95,2019-10-18,46.6,15,-9.75,EMA13,11
GLENMARK,S,2019-09-16,366.0,2019-10-25,305.75,68,4097.0,EMA13,39
BAJFINANCE,L,2019-10-18,410.0,2019-10-27,401.5,2,-17.0,EMA13,9
APOLLOHOSP,L,2019-10-30,1459.8,2019-10-31,1471.0,17,190.4,EMA13,1
